"MUNICIPIO","INSTITUCION EDUCATIVA","AÑO 2014","AÑO 2015","AÑO 2016","AÑO 2017","AÑO 2018","AÑO 2019","AÑO 2020","AÑO 2021","AÑO 2022","AÑO 2023","AÑO 2024"
"Apía","Centro Educativo Bachillerato en Bienestar Rural - Apía","D","D","D","D","D","D","NR","D","D","D","D"
"Apía","Colegio Sagrada Familia","B","B","B","B","B","C","C","C","C","C","D"
"Apía","Instituto Técnico Industrial Integrado Santo Tomas De Aquino","C","C","C","C","C","C","D","C","C","C","B"
"Apía","IE LA FLORESTA - Sede Única","NR","NR","NR","NR","NR","NR","D","D","D","D","D"
"Balboa","Colegio Oficial Mixto Santo Domingo Savio","C","C","C","B","C","C","C","C","C","C","C"
"Balboa","Tambores","C","C","C","C","C","C","D","D","D","D","D"
"Balboa","Centro Educativo Bachillerato en Bienestar Rural - Balboa","NR","NR","NR","NR","NR","NR","NR","D","D","D","D"
"Belén de umbría","Colegio Oficial Juan Hurtado","B","B","B","B","B","C","C","C","C","C","C"
"Belén de umbría","Colegio Oficial Nuestra Señora Del Rosario","C","C","C","NR","NR","NR","NR","C","D","C","C"
"Belén de umbría","Colegio Técnico Agropecuario Taparcal","C","C","C","C","C","C","D","D","D","D","C"
"Belén de umbría","Centro Educativo Bachillerato en Bienestar Rural","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"Guática","Colegio Oficial Instituto Guática","C","C","C","C","C","C","C","C","C","D","D"
"Guática","IE María Reina","C","B","B","B","C","C","C","D","D","B","B"
"Guática","Instituto Agrícola Santa Ana","D","D","C","C","C","C","D","D","D","D","D"
"Guática","Instituto San Clemente","C","C","C","C","C","C","C","C","B","B","B"
"Guática","Centro Educativo Bachillerato en Bienestar Rural - Guatica","NR","NR","NR","NR","NR","NR","NR","NR","D","D","D"
"La Celia","Colegio Patio Bonito","C","B","B","B","B","B","C","C","C","C","C"
"La Celia","Liceo De Occidente","C","C","C","C","B","B","C","C","C","C","D"
"La Celia","Centro Educativo Bachillerato en Bienestar Rural - La Celia","NR","NR","NR","NR","NR","NR","D","D","D","D","D"
"la Virginia","Colegio Bernardo Arias Trujillo","B","B","B","B","C","C","D","D","D","D","D"
"la Virginia","Colegio La Presentación","B","B","B","A","A","A","B","B","B","A","A"
"la Virginia","Instituto Educativa Pedro Pablo Bello","C","C","C","C","B","C","C","D","D","C","C"
"la Virginia","Liceo Gabriela Mistral","B","B","B","B","B","C","C","C","C","C","C"
"la Virginia","Alfonso López Pumarejo","C","C","D","D","NR","NR","NR","D","D","D","D"
"Marsella","Instituto Agrícola Alto Cauca","C","D","D","D","D","D","D","D","D","D","C"
"Marsella","Instituto Estrada","B","B","B","B","B","B","B","B","B","B","B"
"Marsella","Agricola Marsella","C","C","C","C","C","D","D","D","D","D","D"
"Marsella","Centro Educativo Bachillerato en Bienestar Rural - Marsella","NR","NR","NR","NR","NR","NR","NR","D","D","D","D"
"Marsella","IE WAARRARA DEE - Sede Única","NR","NR","NR","NR","NR","NR","NR","NR","D","D","D"
"Mistrató","Instituto Mistrató","C","C","C","C","C","C","C","D","D","C","C"
"Mistrató","La Inmaculada","D","D","D","D","D","D","D","D","D","D","D"
"Mistrató","Purembara","NR","NR","NR","NR","NR","NR","D","D","D","D","D"
"Mistrató","Centro Educativo Bachillerato en Bienestar Rural - Mistrató","NR","NR","NR","NR","NR","NR","NR","D","D","D","D"
"Mistrató","IE RIO MISTRATO - Sede Única","NR","NR","NR","NR","NR","NR","NR","NR","NR","D","D"
"Pueblo Rico","Institución Agroambiental Pio XII","D","D","D","D","D","D","D","D","D","D","D"
"Pueblo Rico","Instituto De Promoción Social Dokabu","D","D","D","NR","D","NR","NR","D","D","D","D"
"Pueblo Rico","Instituto San Pablo","C","C","B","NR","NR","NR","C","C","C","C","B"
"Pueblo Rico","Etnoeducativo Embera Chami","NR","NR","NR","NR","NR","NR","NR","D","D","D","D"
"Pueblo Rico","Centro Educativo Bachillerato en Bienestar Rural - Pueblo Rico","NR","NR","NR","NR","NR","D","D","D","D","D","D"
"Pueblo Rico","IE DACHI DADA KERA -","NR","NR","NR","NR","NR","NR","NR","NR","D","D","D"
"Quinchía","Colegio Agropecuario Núcleo Escolar Rural","C","C","C","C","C","C","D","C","C","B","B"
"Quinchía","Instituto Integrado Miracampos","C","C","C","C","C","C","C","C","C","C","C"
"Quinchía","Instituto Nuestra Señora De Los Dolores","B","B","B","B","B","B","B","B","B","B","B"
"Quinchía","Instituto San Andrés","B","B","B","B","B","B","B","B","B","B","B"
"Quinchía","Instituto Técnico Agropecuario Naranjal","C","C","C","C","C","C","D","C","C","C","C"
"Quinchía","Instituto Integrado Irra","C","C","C","C","D","D","D","D","D","D","D"
